,난민 지위,전쟁 난민 인원 현황
1140,G / FI,267
1141,G / FI,686
1142,G / FI,37
1143,G / FI,0
1144,G / AR,19
1145,G / FI,42
1146,G / FA,31
1147,G / FI,127
1148,G / AR,102
1149,G / FI,8
1150,G / FI,3
1151,G / EO,2
1152,U / FI,1
1153,G / FI,0
1154,G / JR,0
1155,G / AR,0
1156,G / FI,3
1157,U / FI,0
1158,G / FI,0
1159,G / FI,7
1160,G / FI,2
1161,G / FI,3
1162,G / FI,1
1163,G / FI,0
1164,G / FI,4
1165,U / FI,0
1166,G / EO,8
1167,G / AR,0
1168,G / FI,1
1169,G / FI,3
1170,G / NA,1
1171,G / FI,1
1172,G / EO,15
1173,G / FI,2
1174,G / FI,269
1175,G / FI,0
1176,G / FI,0
1177,G / EO,1775
1178,G / IN,926
1179,U / FI,1
1180,G / AR,13
1181,G / FI,17
1182,U / FI,2
1183,G / AR,1
1184,G / FI,2
1185,U / FI,8
1186,G / FI,0
1187,G / FI,1
1188,G / AR,3
1189,G / JR,0
1190,G / AR,1
1191,G / FI,27
1192,G / FI,3
1193,G / FI,1
1194,U / FI,18
1195,U / FI,0
1196,U / FI,15
1197,G / FA,12
1198,U / FI,0
1199,G / TR,1
1200,G / FI,1
1201,G / FI,17
1202,U / FI,2
1203,G / FI,23
1204,G / AR,1
1205,G / FI,3
1206,G / FI,707
1207,U / FI,6
1208,G / FI,3
1209,G / AR,0
1210,G / FI,2
1211,G / RA,3
1212,G / NA,105
1213,G / AR,2
1214,G / FI,4
1215,U / FI,4
1216,G / FI,72
1217,U / FI,0
1218,G / FI,10
1219,G / CA,8
1220,G / FI,42
1221,G / FI,190
1222,G / FI,13
1223,G / FI,1
1224,U / FI,328
1225,G / FI,0
1226,G / FI,1
1227,G / FI,2
1228,G / AR,6
1229,G / FA,5
1230,G / FI,3
1231,G / AR,0
1232,G / FI,13
1233,G / EO,1
1234,G / FI,0
1235,G / FI,0
1236,G / FI,0
1237,G / AR,0
1238,G / FI,6
1239,G / EO,3
1240,G / FI,24
1241,G / FI,1
1242,G / AR,2
1243,G / FI,22
1244,G / JR,0
1245,G / AR,61
1246,G / FI,239
1247,G / FI,0
1248,G / FI,153
1249,G / FI,2
1250,G / FI,1795
1251,G / FI,8
1252,G / FI,41
1253,G / FI,17
1254,G / AR,1
1255,G / FI,34
1256,G / RA,9
1257,G / NA,70
1258,G / FI,16
1259,G / FI,112
1260,G / AR,9
1261,G / FI,9
1262,G / FA,22
1263,G / FI,2
1264,G / AR,2
1265,G / EO,31
1266,G / AR,2
1267,G / FI,2
1268,G / FI,1
1269,G / AR,4
1270,G / FI,9
1271,U / FI,1
1272,G / FI,1
1273,G / FI,3
1274,G / FI,9
1275,G / FA,3
1276,G / AR,2
1277,G / FI,10
1278,U / FI,0
1279,G / EO,2
1280,G / FI,1
1281,G / AR,5
1282,G / JR,0
1283,G / FI,2
1284,G / AR,2
1285,G / FI,12
1286,G / FI,57
1287,U / FI,12
1288,G / FI,0
1289,G / FI,111
1290,G / FI,11
1291,G / EO,9
1292,G / FI,1
1293,G / FI,14
1294,G / FI,1
1295,G / EO,5
1296,G / FI,1
1297,G / FI,0
1298,G / FI,0
1299,G / AR,1
1300,G / FI,3
1301,G / EO,49
1302,G / FI,1
1303,G / AR,2
1304,G / FI,1
1305,G / FI,1
1306,G / FI,35
1307,G / FA,3
1308,G / FI,0
1309,G / FI,3
1310,U / FI,21
1311,G / IN,114
1312,G / EO,123
1313,U / FI,6
1314,U / FI,27
1315,U / FI,28
1316,G / AR,48
1317,G / FI,54
1318,G / FI,10
1319,G / FI,6
1320,G / FI,1
1321,G / FI,8
1322,G / FI,6
1323,G / AR,2
1324,G / FI,17
1325,G / FI,1
1326,U / FI,2
1327,G / AR,33
1328,G / FI,47
1329,G / JR,0
1330,G / AR,279
1331,G / FI,572
1332,U / FI,0
1333,G / FI,8
1334,U / FI,5
1335,U / FI,1
1336,U / FI,1
1337,G / FI,0
1338,G / FI,0
1339,U / FI,46
1340,U / FI,1
1341,G / FI,5
1342,U / FI,0
1343,G / FA,15
1344,U / FI,2
1345,G / AR,1
1346,G / FI,1
1347,G / TR,1
1348,G / FI,232
1349,U / FI,0
1350,G / FI,136
1351,G / FI,4
1352,G / FI,1
1353,G / BL,500
1354,G / FI,1440
1355,G / AR,754
1356,G / FI,1745
1357,G / AR,7
1358,G / FI,9
1359,G / FI,2
1360,G / FI,497
1361,U / FI,1
1362,G / AR,8
1363,G / FI,14
1364,G / RA,458
1365,G / NA,1435
1366,G / AR,33
1367,G / FI,60
1368,U / FI,2
1369,U / FI,1
1370,G / CA,42
1371,G / FI,515
1372,G / FI,447
1373,G / FI,3
1374,G / FI,1
1375,U / FI,0
1376,G / FI,50
1377,G / FI,0
1378,G / FI,0
1379,G / AR,29
1380,G / FI,61
1381,U / FI,2
1382,G / FA,108
1383,G / AR,22
1384,G / FI,39
1385,G / FI,1
1386,U / FI,6
1387,U / FI,1
1388,G / EO,133
1389,G / AR,66
1390,G / FI,105
1391,G / FI,1
1392,G / JR,0
1393,G / FI,6
1394,G / AR,5
1395,G / FA,3
1396,G / FI,0
1397,G / BL,105
1398,G / FI,700
1399,G / FI,62
1400,G / FI,39
1401,G / FI,1
1402,G / RA,1
1403,G / NA,26
1404,U / FI,0
1405,G / FI,0
1406,G / CA,6
1407,G / FI,38
1408,G / FI,66
1409,G / FI,4
1410,G / AR,4
1411,G / FI,4
1412,G / AR,8
1413,G / FI,21
1414,G / FI,0
1415,G / FI,0
1416,U / FI,0
1417,G / EO,433
1418,G / IN,613
1419,U / FI,0
1420,U / FI,0
1421,G / AR,17
1422,G / FI,27
1423,G / FI,20
1424,G / FI,2
1425,U / FI,1
1426,G / AR,6
1427,G / FI,6
1428,G / JR,0
1429,G / AR,7
1430,G / FI,37
1431,U / FI,0
1432,U / FI,29
1433,G / FA,14
1434,U / FI,2
1435,G / FI,16
1436,U / FI,2
1437,G / FI,27
1438,G / FI,1
1439,G / FI,4
1440,G / AR,3
1441,G / FI,1
1442,G / FI,4
1443,G / AR,5
1444,G / FI,7
1445,G / RA,39
1446,G / NA,122
1447,U / FI,3
1448,G / CA,1
1449,G / FI,13
1450,G / FI,62
1451,G / FI,2
1452,G / AR,2
1453,G / FI,3
1454,G / FA,9
1455,G / FI,85
1456,G / AR,76
1457,G / FI,9
1458,G / FI,0
1459,U / FI,197
1460,G / EO,104
1461,G / IN,280
1462,G / FI,2
1463,G / FI,11
1464,U / FI,14
1465,U / FI,17
1466,G / AR,10
1467,G / FI,69
1468,U / FI,0
1469,U / FI,121
1470,U / FI,0
1471,G / FI,4
1472,G / FI,1
1473,G / AR,20
1474,G / FI,39
1475,G / JR,0
1476,G / AR,65
1477,G / FI,309
1478,G / FI,0
1479,U / FI,1
1480,U / FI,417
1481,U / FI,4
1482,G / FA,18
1483,U / FI,14
1484,G / FI,8
1485,U / FI,5
